id,name,published_at,employer_name,alternate_url,level
130438119,Business Analyst,2026-02-13T15:03:20+0300,ПСТ Лабс,https://hh.ru/vacancy/130438119,Unknown
130316119,Machine Learning Engineer/ Data scientist,2026-02-10T11:38:20+0300,Арелаг консалт,https://hh.ru/vacancy/130316119,Unknown
130324508,IT Data Asset Intern / Стажер-менеджер по управлению данными,2026-02-10T14:28:30+0300,Procter & Gamble,https://hh.ru/vacancy/130324508,Intern
130363133,Data Scientist LLM,2026-02-11T15:06:40+0300,WaveAccess,https://hh.ru/vacancy/130363133,Unknown
129141234,Middle DevOps Engineer,2026-02-24T09:15:27+0300,УайтСнейк,https://hh.ru/vacancy/129141234,Middle
130393874,Бухгалтер,2026-02-12T12:06:44+0300,ARHITEX,https://hh.ru/vacancy/130393874,Unknown
130584906,Middle/Senior ML-инженер,2026-02-24T20:24:09+0300,МФК Фордевинд,https://hh.ru/vacancy/130584906,Senior
130450038,Middle Software Developer / Back-end,2026-02-23T12:02:19+0300,ПБК Менеджмент,https://hh.ru/vacancy/130450038,Middle
130561173,Data аналитик (офис),2026-02-18T11:47:29+0300,Bell Integrator Регионы,https://hh.ru/vacancy/130561173,Unknown
129433281,ML-инженер,2026-02-12T17:23:08+0300,ЕВАППС,https://hh.ru/vacancy/129433281,Unknown
130730776,Эксперт дисциплины “’Этика AI”,2026-02-25T08:02:56+0300,Национальный исследовательский Томский государственный университет,https://hh.ru/vacancy/130730776,Unknown
130633567,Team Lead Data Analysis/Руководитель отдела анализа данных,2026-02-20T10:34:52+0300,Федеральное автономное учреждение «Национальный институт аккредитации» (ФАУ НИА),https://hh.ru/vacancy/130633567,Unknown
130664344,IT Project Manager (Middle/Senior),2026-02-23T08:03:25+0300,CENTRAL ASIAN UNIVERSITY,https://hh.ru/vacancy/130664344,Senior
127656696,Руководитель проектов по разработке IT-решений в сфере здравоохранения,2026-02-12T11:48:17+0300,Нетрика Медицина,https://hh.ru/vacancy/127656696,Unknown
130507373,Data Scientist в Отдел Data Science,2026-02-17T07:21:43+0300,Банк Компаньон,https://hh.ru/vacancy/130507373,Unknown
130621540,Системный аналитик,2026-02-19T18:51:10+0300,СБЕР,https://hh.ru/vacancy/130621540,Unknown
130694499,Программист 1С,2026-02-24T12:20:29+0300,Первый Бит,https://hh.ru/vacancy/130694499,Unknown
130579215,"Project Manager, Immunoprofiling (to Yerevan)",2026-02-18T16:55:44+0300,BostonGene Technologies,https://hh.ru/vacancy/130579215,Unknown
130581487,Data Engineer (Pharma),2026-02-18T17:42:47+0300,Team.Inno / Фабрика инноваций и решений,https://hh.ru/vacancy/130581487,Unknown
130648879,ML-инженер (Инфопанель),2026-02-20T15:51:20+0300,СБЕР,https://hh.ru/vacancy/130648879,Unknown
129884979,Senior Python-разработчик,2026-01-26T16:07:16+0300,DZ Systems,https://hh.ru/vacancy/129884979,Senior
129348751,CPA-manager в Азии (CPA /международные рынки),2026-02-09T17:15:01+0300,MoneyCat,https://hh.ru/vacancy/129348751,Unknown
130609350,Data Scientist NLP (портал gosuslugi.ru),2026-02-19T13:55:57+0300,РТЛабс,https://hh.ru/vacancy/130609350,Unknown
130073394,Аналитик продаж и закупок,2026-02-02T09:23:54+0300,LIFECOSM,https://hh.ru/vacancy/130073394,Unknown
130482741,Менеджер цифровых продуктов \ Digital Product Manager,2026-02-16T12:42:15+0300,Марс,https://hh.ru/vacancy/130482741,Unknown
130753101,Инженер-программист (AI Developer / Разработчик в сфере искусственного интеллекта),2026-02-25T13:36:38+0300,НПЦ ИНФОТРАНС,https://hh.ru/vacancy/130753101,Unknown
129915516,Технический лидер,2026-01-27T12:33:35+0300,Техностар,https://hh.ru/vacancy/129915516,Unknown
130597642,Senior Python Developer GenAI Team,2026-02-25T10:36:52+0300,Домклик,https://hh.ru/vacancy/130597642,Senior
130641378,Data Scientist / Market Research Analyst для международного IT-проекта (AI Marketplace & Wellness Ap,2026-02-20T13:07:53+0300,Экосистемы,https://hh.ru/vacancy/130641378,Unknown
130358029,Data Scientist,2026-02-11T13:33:40+0300,getmatch,https://hh.ru/vacancy/130358029,Unknown
130522466,Руководитель направления,2026-02-17T11:55:09+0300,Ростелеком,https://hh.ru/vacancy/130522466,Unknown
130340515,Руководитель отдела продаж,2026-02-23T08:23:47+0300,HJ Platform (Hero’s Journey),https://hh.ru/vacancy/130340515,Unknown
129480942,Разработчик электроники (Центр квантовых технологий),2026-02-10T13:29:20+0300,СБЕР,https://hh.ru/vacancy/129480942,Unknown
130412344,Flutter-разработчик,2026-02-12T19:27:31+0300,LIAN,https://hh.ru/vacancy/130412344,Unknown
129497932,ML-инженер / Data Scientist,2026-02-09T12:33:18+0300,Строительный Двор,https://hh.ru/vacancy/129497932,Unknown
129770310,Научный сотрудник/Инженер-программист,2026-02-19T15:25:07+0300,НИИГРАФИТ,https://hh.ru/vacancy/129770310,Unknown
130311564,ML-инженер,2026-02-10T10:19:13+0300,Diamond Personnel R&C,https://hh.ru/vacancy/130311564,Unknown
130555195,ML Engineer (AntiDDoS),2026-02-18T10:19:53+0300,RWB (Wildberries & Russ),https://hh.ru/vacancy/130555195,Unknown
130352798,Python-разработчик,2026-02-11T12:01:21+0300,СБЕР,https://hh.ru/vacancy/130352798,Unknown
130606995,Sensing Specialist,2026-02-19T13:18:26+0300,AG TECH,https://hh.ru/vacancy/130606995,Unknown
130251337,Аналитик данных / Data Analyst,2026-02-06T17:16:49+0300,Лаборатория Касперского,https://hh.ru/vacancy/130251337,Unknown
129902360,ML-инженер,2026-02-23T09:23:21+0300,Симбиоз,https://hh.ru/vacancy/129902360,Unknown
130692902,Старший Data Scientist в команду Авито Недвижимости,2026-02-24T11:59:55+0300,АВИТО ТЕХ,https://hh.ru/vacancy/130692902,Senior
130690811,Финансовый аналитик,2026-02-24T11:29:35+0300,Всесезонный курорт Манжерок,https://hh.ru/vacancy/130690811,Unknown
130303050,Ведущий инженер по корпоративным системам,2026-02-10T06:40:04+0300,KMG PetroChem,https://hh.ru/vacancy/130303050,Senior
130370965,Python Developer,2026-02-11T17:06:04+0300,LeverX,https://hh.ru/vacancy/130370965,Unknown
130248034,Lead Data Scientist,2026-02-06T16:02:21+0300,Кадровое Агентство ОК Консалт,https://hh.ru/vacancy/130248034,Unknown
129881886,Ведущий финансовый аналитик,2026-01-26T15:17:04+0300,E-PROMO,https://hh.ru/vacancy/129881886,Senior
130590632,Senior Data Analyst,2026-02-25T08:26:01+0300,КБ Уральский банк реконструкции и развития (УБРиР),https://hh.ru/vacancy/130590632,Senior
130598826,GIS Data Analyst,2026-02-25T10:58:09+0300,AG TECH,https://hh.ru/vacancy/130598826,Unknown
129297286,BI инженер,2026-02-09T16:52:25+0300,NOUS,https://hh.ru/vacancy/129297286,Unknown
129216557,React Native Developer (Belarus only),2026-02-03T18:24:52+0300,IDT Technologies,https://hh.ru/vacancy/129216557,Unknown
130706550,Infrastructure Engineer,2026-02-24T15:33:30+0300,EXNESS Global Limited,https://hh.ru/vacancy/130706550,Unknown
130493473,Координатор учебного процесса (онлайн-курсы по ИИ),2026-02-16T15:22:21+0300,Университет ИТМО,https://hh.ru/vacancy/130493473,Unknown
129317220,Ведущий исследователь данных,2026-02-11T13:58:40+0300,СБЕР,https://hh.ru/vacancy/129317220,Senior
130542181,Engagement manager (Экспертиза),2026-02-17T18:55:21+0300,ВЭБ.РФ,https://hh.ru/vacancy/130542181,Unknown
129973335,BI-аналитик данных в Спорт Тех,2026-01-28T17:09:07+0300,ВПА Технологии,https://hh.ru/vacancy/129973335,Unknown
130421315,"Менеджер по продажам (Enterprise B2B, экспертные IT-решения)",2026-02-25T09:36:01+0300,Эмбедика,https://hh.ru/vacancy/130421315,Unknown
130134625,Data Scientist (marketing),2026-02-03T15:18:56+0300,М.Видео-Эльдорадо,https://hh.ru/vacancy/130134625,Unknown
129961651,Библиотекарь/Librarian,2026-02-24T13:46:53+0300,Ardingly Astana,https://hh.ru/vacancy/129961651,Unknown
130654284,Data Scientist / Machine Learning Engineer в Управление стратегии и развития корпоративного бизнеса,2026-02-20T19:25:41+0300,АО «ОТП Банк» (JSC «OTP Bank»),https://hh.ru/vacancy/130654284,Unknown
